round_epochs,val_loss,val_mse,val_mae,loss,mse,mae,activation_1,activation_2,activation_3,batch_size,dropout1,dropout2,epochs,loss-functions,neurons_HL1,neurons_HL2,neurons_HL3,optimizer
416,0.6621168738939209,0.6621168851852417,0.6058627367019653,0.5475001432737726,0.54750025,0.5670746,elu,relu,elu,250,0.2,0.1,3000,mse,50,5,50,Nadam
724,0.6345760042830775,0.6345759630203247,0.5915510654449463,0.5245208738784412,0.5245209,0.5589528,sigmoid,tanh,sigmoid,100,0.1,0.2,3000,mse,20,5,5,Nadam
985,0.6192577625143116,0.6192578077316284,0.5873005390167236,0.5536154433750285,0.55361545,0.57076216,tanh,elu,relu,500,0.3,0.1,3000,mse,10,20,10,RMSprop
1524,0.6340947423580691,0.634094774723053,0.5938013792037964,0.5224359555192247,0.52243596,0.5589649,sigmoid,sigmoid,elu,250,0.1,0.2,3000,mse,10,10,10,Nadam
2052,0.628350771862781,0.6283507347106934,0.5909709334373474,0.5615871213599594,0.5615871,0.57571745,tanh,tanh,tanh,500,0.3,0.2,3000,mse,20,10,5,Adam
1073,0.6422727947045704,0.6422728300094604,0.5907560586929321,0.5525048073314264,0.55250484,0.5710674,tanh,elu,elu,500,0.3,0.3,3000,mse,20,10,50,Adam
699,0.743265911878222,0.7432659864425659,0.6698949337005615,0.5701220473218821,0.5701221,0.5764228,sigmoid,sigmoid,relu,100,0.2,0.0,3000,mse,10,5,5,Adam
1603,0.6196251754831508,0.6196251511573792,0.5884318947792053,0.523939939148858,0.52393997,0.56092745,tanh,elu,elu,500,0.2,0.3,3000,mse,50,10,None,RMSprop
427,0.7998280302503129,0.799828052520752,0.6340754628181458,0.6725618515141353,0.67256176,0.6031853,relu,tanh,tanh,500,0.2,0.1,3000,mse,5,10,10,RMSprop
2833,0.623651985854678,0.6236519813537598,0.5873908400535583,0.513236703964586,0.5132367,0.557138,elu,relu,relu,500,0.1,0.0,3000,mse,50,20,5,sgd
